GENE_NAME,GENE_SYMBOL,FLYBASE_PRIMARY,spot
Barcode Element,,,7584
CG11436,CG11436,FBgn0029713,7585
CG9765,tacc,FBgn0026620,7586
CG10417,CG10417,FBgn0033021,7587
CG10489,Pole2,FBgn0035644,7588
CG15541,CG15541,FBgn0039794,7589
CG11527,Tig,FBgn0011722,7590
CG15551,Ctr1C,FBgn0062411,7591
Barcode Element,,,7592
CG9517,CG9517,FBgn0030591,7593
CG9518,CG9518,FBgn0030590,7594
CG12692,CG12692,FBgn0029703,7595
CG8725,CSN4,FBgn0027054,7596
CG11779,CG11779,FBgn0038683,7597
CG6611,ect,FBgn0000451,7598
CG1674,CG1674,FBgn0039897,7599
Barcode Element,,,7600
CG31678,CG31678,FBgn0051678,7601
CG5625,CG5625,FBgn0034708,7602
CG15599,CG15599,FBgn0030667,7603
CG18233,CG18233,FBgn0036795,7604
CG4548,XNP,FBgn0039338,7605
CG1962,CG1962,FBgn0032876,7606
CG10990,CG10990,FBgn0030520,7607
Barcode Element,,,7608
CG16728,CG16728,FBgn0033539,7609
CG4567,CG4567,FBgn0031898,7610
CG12753,CG12753,FBgn0038427,7611
CG11579,arm,FBgn0000117,7612
CG4845,CG4845,FBgn0038764,7613
CG1981,Thd1,FBgn0026869,7614
CG7437,mub,FBgn0014362,7615
Barcode Element,,,7616
CG1848,LIMK1,FBgn0041203,7617
CG1836,Rad23,FBgn0026777,7618
CG8785,CG8785,FBgn0033760,7619
CG10445,CG10445,FBgn0037531,7620
null,Amplicon Hits Multiple Gene Regions,,7621
CG11049,sv,FBgn0005561,7622
CG2967,CG2967,FBgn0028486,7623
Barcode Element,,,7624
CG7678,CG7678,FBgn0038613,7625
CG5034,GATAd,FBgn0032223,7626
CG5385,CG5385,FBgn0032215,7627
CG7454,Or85a,FBgn0037576,7628
CG13188,CG13188,FBgn0033668,7629
CG12444,CG12444,FBgn0033651,7630
CG13204,CG13204,FBgn0033627,7631
Barcode Element,,,7632
CG13724,CG13724,FBgn0036707,7633
CG16793,CG16793,FBgn0036712,7634
CG7847,sr,FBgn0003499,7635
CG8727,cyc,FBgn0023094,7636
CG13270,Ugt36Ba,FBgn0040262,7637
CG6554,Art1,FBgn0037834,7638
CG5762,CG5762,FBgn0039190,7639
Barcode Element,,,7640
CG7869,SuUR,FBgn0025355,7641
CG11409,CG11409,FBgn0024366,7642
CG32849,Hex-t2,FBgn0042710,7643
CG5169,CG5169,FBgn0038477,7644
CG31453,CG31453,FBgn0051453,7645
CG8481,CG8481,FBgn0037747,7646
CG14431,CG14431,FBgn0029922,7647
Barcode Element,,,7648
CG5760,rtet,FBgn0028468,7649
CG13331,CG13331,FBgn0033850,7650
CG8495,RpS29,FBgn0037752,7651
CG7968,CG7968,FBgn0028532,7652
CG1106,Gel,FBgn0010225,7653
CG3258,ase,FBgn0000137,7654
CG7995,CG7995,FBgn0035266,7655
Barcode Element,,,7656
CG10579,Eip63E,FBgn0005640,7657
CG13898,CG13898,FBgn0035161,7658
CG5779,Bc,FBgn0000165,7659
CG13379,CG13379,FBgn0036804,7660
CG33209,comm3,FBgn0053209,7661
CG18132,CG18132,FBgn0031345,7662
CG14000,CG14000,FBgn0031749,7663
CG13467,CG13467,FBgn0036455,7664
CG8388,CG8388,FBgn0034062,7665
CG8489,CG8489,FBgn0038225,7666
CG9203,CG9203,FBgn0030646,7667
CG14029,vri,FBgn0016076,7668
CG8766,tafazzin,FBgn0026619,7669
CG9603,CG9603,FBgn0040529,7670
CG8966,CG8966,FBgn0039394,7671
CG7152,Syn1,FBgn0037130,7672
CG3795,CG3795,FBgn0025378,7673
CG4345,grim,FBgn0015946,7674
CG3805,CG3805,FBgn0031665,7675
CG32532,CG32532,FBgn0052532,7676
CG11574,CG11574,FBgn0039878,7677
CG32387,CG32387,FBgn0052387,7678
CG10352,CG10352,FBgn0030348,7679
CG9399,CG9399,FBgn0037715,7680
CG15109,CG15109,FBgn0034416,7681
CG4663,CG4663,FBgn0033812,7682
CG7349,CG7349,FBgn0030975,7683
null,Amplicon Hits Multiple Gene Regions,,7684
CG11941,skpC,FBgn0026175,7685
CG7806,CG7806,FBgn0032018,7686
CG17280,CG17280,FBgn0034877,7687
CG5045,CG5045,FBgn0032229,7688
CG13746,CG13746,FBgn0033341,7689
null,No Amplicon Gene Matches,,7690
CG8317,CG8317,FBgn0034140,7691
CG9876,CG9876,FBgn0034821,7692
CG4922,sala,FBgn0003313,7693
CG1397,CG1397,FBgn0030275,7694
CG12389,Fpps,FBgn0025373,7695
CG5323,CG5323,FBgn0034362,7696
CG13834,CG13834,FBgn0039037,7697
CG14421,CG14421,FBgn0029644,7698
CG5630,CG5630,FBgn0038842,7699
CG5432,CG5432,FBgn0039425,7700
CG5869,CG5869,FBgn0028894,7701
CG8960,CG8960,FBgn0035315,7702
CG13926,CG13926,FBgn0035243,7703
null,No Amplicon Gene Matches,,7704
null,No Amplicon Gene Matches,,7705
CG8098,Picot,FBgn0024315,7706
CG32498,dnc,FBgn0000479,7707
CG13421,Obp57c,FBgn0034509,7708
CG7707,CG7707,FBgn0036703,7709
CG4560,Arpc3A,FBgn0038369,7710
CG6353,CG6353,FBgn0038893,7711
CG14410,CG14410,FBgn0030583,7712
CG8120,CG8120,FBgn0037675,7713
CG4584,dUTPase,FBgn0013349,7714
CG5203,CHIP,FBgn0027052,7715
CG8637,trc,FBgn0003744,7716
CG1128,&agr;-Est9,FBgn0015577,7717
null,-,,7718
null,-,,7719
null,-,,7720
null,-,,7721
null,-,,7722
null,-,,7723
null,-,,7724
CG14283,mRpL55,FBgn0038678,7725
CG14290,CG14290,FBgn0038662,7726
CG5934,CG5934,FBgn0039505,7727
CG18591,CG18591,FBgn0031962,7728
CG9406,CG9406,FBgn0034592,7729
CG12142,Tsp42Eg,FBgn0033128,7730
CG32648,Pde9,FBgn0052648,7731
CG4111,RpL35,FBgn0029785,7732
CG7685,CG7685,FBgn0038619,7733
CG10078,Prat2,FBgn0041194,7734
null,No Amplicon Gene Matches,,7735
CG13064,CG13064,FBgn0040796,7736
CG11260,CG11260,FBgn0039912,7737
CG33171,CG33171,FBgn0053171,7738
CG7646,CG7646,FBgn0036926,7739
CG10195,CG10195,FBgn0032787,7740
CG11722,CG11722,FBgn0037777,7741
CG11765,Prx2540-2,FBgn0033518,7742
CG13247,CG13247,FBgn0036979,7743
CG4270,CG4270,FBgn0031407,7744
CG5440,CG5440,FBgn0031331,7745
null,No Amplicon Gene Matches,,7746
CG5184,mRpS11,FBgn0038474,7747
CG5791,CG5791,FBgn0040582,7748
CG6214,CG6214,FBgn0032456,7749
CG9555,CG9555,FBgn0032085,7750
CG16747,Oda,FBgn0014184,7751
CG13568,CG13568,FBgn0034965,7752
CG9239,B4,FBgn0023407,7753
CG15224,CkII&bgr;,FBgn0000259,7754
CG5889,Mdh,FBgn0029155,7755
CG8448,mrj,FBgn0034091,7756
CG1161,CG1161,FBgn0037313,7757
CG14520,CG14520,FBgn0039618,7758
CG7823,RhoGDI,FBgn0036921,7759
CG1878,CecB,FBgn0000278,7760
CG7266,Eip71CD,FBgn0000565,7761
CG3997,RpL39,FBgn0023170,7762
CG11271,RpS12,FBgn0014027,7763
CG5605,eRF1,FBgn0036974,7764
CG12202,Nat1,FBgn0031020,7765
null,Amplicon Hits Multiple Gene Regions,,7766
CG7948,spn-A,FBgn0003479,7767
CG31666,CG31666,FBgn0051666,7768
CG6040,CG6040,FBgn0038679,7769
CG1837,CG1837,FBgn0030329,7770
CG33556,,FBgn0035740,7771
CG14419,CG14419,FBgn0029639,7772
CG32556,CG32556,FBgn0052556,7773
CG9672,CG9672,FBgn0030777,7774
CG8472,Cam,FBgn0000253,7775
CG1987,Rbp1-like,FBgn0030479,7776
null,spotting_soln,null,7777
CG4027,Act5C,FBgn0000042,7778
null,spotting_soln,null,7779
null,Ambion_Spike_1,null,7780
null,Ambion_Spike_2,null,7781
Scer\FLP1,Scer\FLP1,FBgn0014444,7782
T:Ecol\lacZ,T:Ecol\lacZ,FBgn0015311,7783
null,spotting_soln,null,7784
CG30191,Gr59b,FBgn0045482,7785
CG13541,CG13541,FBgn0034841,7786
CG5705,CG5705,FBgn0032486,7787
CG14631,CG14631,FBgn0029552,7788
CG2671,l(2)gl,FBgn0002121,7789
CG14088,CG14088,FBgn0036858,7790
CG9938,CG9938,FBgn0030500,7791
CG13582,CG13582,FBgn0035015,7792
CG31419,CG31419,FBgn0051419,7793
CG2129,CG2129,FBgn0030008,7794
CG8592,stil,FBgn0003527,7795
CG4306,CG4306,FBgn0036787,7796
CG4032,Abl,FBgn0000017,7797
CG1572,CG1572,FBgn0030309,7798
CG3564,CG3564,FBgn0029709,7799
CG9602,CG9602,FBgn0038175,7800
CG14214,CG14214,FBgn0031049,7801
CG15314,CG15314,FBgn0030172,7802
CG14354,CG14354,FBgn0039376,7803
CG3004,CG3004,FBgn0030142,7804
CG14247,CG14247,FBgn0039454,7805
CG14262,CG14262,FBgn0039503,7806
null,Amplicon Hits Multiple Gene Regions,,7807
CG2931,CG2931,FBgn0037342,7808
CG10334,spi,FBgn0005672,7809
CG7084,CG7084,FBgn0038938,7810
CG9668,Rh4,FBgn0003250,7811
CG3906,CG3906,FBgn0034871,7812
null,-,,7813
CG10077,CG10077,FBgn0035720,7814
null,Amplicon Hits Multiple Gene Regions,,7815
CG31217,CG31217,FBgn0051217,7816
CG13058,CG13058,FBgn0036610,7817
CG11139,p47,FBgn0033179,7818
CG7671,CG7671,FBgn0038609,7819
CG11797,Obp56a,FBgn0034468,7820
CG7440,CG7440,FBgn0030984,7821
CG4208,XRCC1,FBgn0026751,7822
CG15720,CG15720,FBgn0030442,7823
CG11897,CG11897,FBgn0039644,7824
CG13300,CG13300,FBgn0035699,7825
CG1775,Med,FBgn0011655,7826
CG7358,CG7358,FBgn0030974,7827
CG12030,CG12030,FBgn0035147,7828
null,Amplicon Hits Multiple Gene Regions,,7829
CG1667,CG1667,FBgn0033453,7830
CG33113,Rtnl1,FBgn0053113,7831
CG7115,CG7115,FBgn0027515,7832
CG6873,CG6873,FBgn0030951,7833
CG13045,CG13045,FBgn0036596,7834
CG8116,CG8116,FBgn0037614,7835
CG15141,CG15141,FBgn0032635,7836
CG32982,CG32982,FBgn0052982,7837
CG30029,CG30029,FBgn0050029,7838
CG31873,CG31873,FBgn0032206,7839
CG32187,CG32187,FBgn0052187,7840
CG6130,CG6130,FBgn0038334,7841
CG14231,CG14231,FBgn0031060,7842
Barcode Element,,,7843
CG31072,CG31072,FBgn0051072,7844
CG2945,cin,FBgn0000316,7845
CG8208,MBD-like,FBgn0027950,7846
CG17005,CG17005,FBgn0032109,7847
CG2194,Reg-3,FBgn0016718,7848
CG9972,CG9972,FBgn0035379,7849
CG5388,CG5388,FBgn0038944,7850
Barcode Element,,,7851
CG14895,Pak3,FBgn0044826,7852
CG8348,Dh,FBgn0012344,7853
CG14938,crol,FBgn0020309,7854
null,No Amplicon Gene Matches,,7855
CG13239,CG13239,FBgn0037197,7856
CG9780,CG9780,FBgn0037230,7857
CG32180,Eip74EF,FBgn0000567,7858
Barcode Element,,,7859
CG13775,CG13775,FBgn0031874,7860
CG14542,CG14542,FBgn0039402,7861
CG8483,CG8483,FBgn0038126,7862
CG14565,CG14565,FBgn0037129,7863
CG13478,shd,FBgn0003388,7864
CG3040,CG3040,FBgn0029925,7865
CG10726,barr,FBgn0014127,7866
CG4012,gek,FBgn0023081,7867
CG10738,CG10738,FBgn0036368,7868
CG6904,CG6904,FBgn0038293,7869
null,-,,7870
CG6657,veg,FBgn0015562,7871
CG1417,slgA,FBgn0003423,7872
CG7413,Rbf,FBgn0015799,7873
CG1575,CG1575,FBgn0029999,7874
null,-,,7875
CG4335,CG4335,FBgn0038795,7876
CG32158,CG32158,FBgn0052158,7877
CG4303,Bap60,FBgn0025463,7878
CG12047,mud,FBgn0002873,7879
CG3811,Oatp30B,FBgn0032123,7880
null,-,,7881
CG7197,CG7197,FBgn0035866,7882
CG11306,CG11306,FBgn0037108,7883
CG6964,Gug,FBgn0010825,7884
CG4399,east,FBgn0010110,7885
CG10808,synaptogyrin,FBgn0033876,7886
CG33478,Or46a,FBgn0026388,7887
CG6958,CG6958,FBgn0039004,7888
CG8248,CG8248,FBgn0033347,7889
CG4220,elB,FBgn0004858,7890
CG9040,CG9040,FBgn0036394,7891
CG15727,CG15727,FBgn0030410,7892
CG3260,Zfrp8,FBgn0021875,7893
CG5946,CG5946,FBgn0036211,7894
CG2762,ush,FBgn0003963,7895
CG7494,mRpL1,FBgn0037566,7896
CG6185,CG6185,FBgn0036150,7897
CG9702,CG9702,FBgn0039787,7898
CG1339,Gr43b,FBgn0033202,7899
CG14907,CG14907,FBgn0038455,7900
CG9433,Xpd,FBgn0015844,7901
CG31868,Samuel,FBgn0032330,7902
CG2982,CG2982,FBgn0029704,7903
CG14933,CG14933,FBgn0040968,7904
CG33122,cutlet,FBgn0015376,7905
CG9731,CG9731,FBgn0037640,7906
CG14961,CG14961,FBgn0035439,7907
CG14965,CG14965,FBgn0035414,7908
CG11470,CG11470,FBgn0039671,7909
CG14549,CG14549,FBgn0039403,7910
CG2017,CG2017,FBgn0037391,7911
CG9749,Abi,FBgn0020510,7912
CG3189,Dpit47,FBgn0033083,7913
CG7088,bnb,FBgn0001090,7914
CG1799,ras,FBgn0003204,7915
CG12737,Crag,FBgn0025864,7916
CG8191,CG8191,FBgn0030675,7917
CG11913,CG11913,FBgn0039331,7918
CG15523,CG15523,FBgn0039727,7919
CG17030,CG17030,FBgn0035584,7920
CG4771,CG4771,FBgn0039018,7921
CG11248,CG11248,FBgn0037117,7922
CG7098,dik,FBgn0030891,7923
CG10254,CG10254,FBgn0027512,7924
CG31688,CG31688,FBgn0051688,7925
CG10956,CG10956,FBgn0034195,7926
CG3201,Mlc-c,FBgn0004687,7927
CG7415,DppIII,FBgn0037580,7928
CG12972,CG12972,FBgn0037076,7929
CG31299,nocturnin,FBgn0037872,7930
CG31213,CG31213,FBgn0051213,7931
CG30097,CG30097,FBgn0050097,7932
CG7673,Edg78E,FBgn0000551,7933
CG12104,CG12104,FBgn0035238,7934
CG7686,CG7686,FBgn0027525,7935
CG30015,CG30015,FBgn0050015,7936
CG32159,CG32159,FBgn0052159,7937
CG10996,CG10996,FBgn0030525,7938
CG10590,CG10590,FBgn0035622,7939
CG32113,CG32113,FBgn0052113,7940
CG11010,Ent3,FBgn0036319,7941
CG33130,l(2)k07433,FBgn0022085,7942
CG11018,CG11018,FBgn0034464,7943
CG31688,CG31688,FBgn0051688,7944
CG5472,Pal,FBgn0020623,7945
CG32103,CG32103,FBgn0052103,7946
CG5354,pie,FBgn0005683,7947
CG16741,CG16741,FBgn0042198,7948
CG11851,CG11851,FBgn0039293,7949
CG11856,Nup358,FBgn0039302,7950
CG2950,CG2950,FBgn0031637,7951
null,Amplicon Hits Multiple Gene Regions,,7952
CG10495,CG10495,FBgn0032750,7953
CG10501,amd,FBgn0000075,7954
CG3605,CG3605,FBgn0031493,7955
CG10231,Pde11,FBgn0032686,7956
CG1231,CG1231,FBgn0035134,7957
CG4244,Su(dx),FBgn0003557,7958
CG8915,CG8915,FBgn0030833,7959
CG13167,CG13167,FBgn0033706,7960
CG12734,CG12734,FBgn0035411,7961
CG10275,CG10275,FBgn0032683,7962
CG11648,Abd-B,FBgn0000015,7963
Barcode Element,,,7964
CG8745,CG8745,FBgn0036381,7965
CG18231,CG18231,FBgn0036796,7966
CG8285,boss,FBgn0000206,7967
CG2083,CG2083,FBgn0035376,7968
CG18449,CG18449,FBgn0033285,7969
CG3226,CG3226,FBgn0029882,7970
CG1218,CG1218,FBgn0037377,7971
Barcode Element,,,7972
CG9254,CG9254,FBgn0028513,7973
CG9066,CG9066,FBgn0030703,7974
CG12539,CG12539,FBgn0030586,7975
CG5732,CG5732,FBgn0038934,7976
CG10687,Aats-asn,FBgn0027092,7977
CG6535,tefu,FBgn0045035,7978
CG8190,eIF2B-&ggr;,FBgn0034029,7979
Barcode Element,,,7980
CG12031,Trap170,FBgn0035145,7981
CG17012,CG17012,FBgn0031406,7982
CG10616,CG10616,FBgn0036286,7983
CG10620,Tsf2,FBgn0036299,7984
CG1964,Kul,FBgn0039688,7985
CG17052,CG17052,FBgn0031097,7986
CG33526,PNUTS,FBgn0053526,7987
CG1250,sec23,FBgn0037357,7988
CG1252,Ccp84Ab,FBgn0004782,7989
CG1120,CG1120,FBgn0035462,7990
CG18519,CG18519,FBgn0038348,7991
CG9175,CG9175,FBgn0031779,7992
CG10702,CG10702,FBgn0032752,7993
CG15152,CG15152,FBgn0032665,7994
CG30021,skf,FBgn0050021,7995
CG13530,CG13530,FBgn0034777,7996
CG3776,l(2)k03704,FBgn0022215,7997
CG14640,CG14640,FBgn0037227,7998
CG14658,CG14658,FBgn0037283,7999
CG14115,CG14115,FBgn0036343,8000
CG6206,CG6206,FBgn0027611,8001
CG33305,CG33305,FBgn0032351,8002
null,Amplicon Hits Multiple Gene Regions,,8003
CG9366,RhoL,FBgn0014380,8004
CG7287,Lcp65Aa,FBgn0020645,8005
CG12678,CG12678,FBgn0031133,8006
CG5984,CG5984,FBgn0039500,8007
CG5996,trp&ggr;,FBgn0032593,8008
CG9943,Surf1,FBgn0029117,8009
CG1656,lectin-46Ca,FBgn0040093,8010
CG6025,Arf72A,FBgn0000115,8011
CG13139,CG13139,FBgn0032230,8012
CG10946,dpr14,FBgn0029974,8013
CG1840,CG1840,FBgn0030351,8014
CG8201,par-1,FBgn0026193,8015
CG33506,CG33506,FBgn0053506,8016
CG8465,l(1)G0222,FBgn0028343,8017
CG4700,Sema-2a,FBgn0011260,8018
CG3579,CG3579,FBgn0035037,8019
CG12017,CG12017,FBgn0035429,8020
CG3613,qkr58E-1,FBgn0022986,8021
CG14534,CG14534,FBgn0031957,8022
CG5433,Klc,FBgn0010235,8023
CG18139,CG18139,FBgn0038522,8024
CG15522,CG15522,FBgn0039723,8025
CG31917,CG31917,FBgn0031668,8026
CG33522,scaf6,FBgn0053522,8027
CG2233,CG2233,FBgn0029990,8028
CG32444,CG32444,FBgn0043783,8029
CG31797,CG31797,FBgn0051797,8030
CG12370,CG12370,FBgn0033744,8031
CG2297,Obp44a,FBgn0033268,8032
CG1652,lectin-46Cb,FBgn0040092,8033
CG5316,CG5316,FBgn0038704,8034
CG17964,pan,FBgn0019664,8035
CG7988,CG7988,FBgn0038582,8036
CG4778,CG4778,FBgn0027600,8037
CG8958,CG8958,FBgn0030725,8038
CG6684,RpS25,FBgn0010413,8039
CG10369,Irk3,FBgn0032706,8040
CG5217,CG5217,FBgn0038694,8041
CG5725,fbl,FBgn0011205,8042
Barcode Element,,,8043
CG12501,Or56a,FBgn0034473,8044
null,-,,8045
CG3948,&zgr;COP,FBgn0040512,8046
CG32100,CG32100,FBgn0052100,8047
null,Amplicon Hits Multiple Gene Regions,,8048
CG15093,CG15093,FBgn0034390,8049
CG14290,CG14290,FBgn0038662,8050
Barcode Element,,,8051
CG30295,Ipk1,FBgn0050295,8052
CG9204,Ate1,FBgn0025720,8053
CG12535,CG12535,FBgn0029657,8054
CG14777,CG14777,FBgn0026872,8055
CG12654,CG12654,FBgn0030131,8056
CG18255,Strn-Mlck,FBgn0013988,8057
CG32795,CG32795,FBgn0040384,8058
Barcode Element,,,8059
null,No Amplicon Gene Matches,,8060
CG30089,CG30089,FBgn0050089,8061
CG33531,Ddr,FBgn0053531,8062
CG10406,mRpS33,FBgn0038426,8063
CG9328,CG9328,FBgn0032886,8064
CG7888,CG7888,FBgn0036116,8065
CG11322,CG11322,FBgn0031856,8066
CG2944,,FBgn0033008,8067
null,No Amplicon Gene Matches,,8068
CG14401,CG14401,FBgn0032900,8069
CG5444,Taf4,FBgn0010280,8070
CG31163,CG31163,FBgn0051163,8071
null,No Amplicon Gene Matches,,8072
CG5058,grh,FBgn0004586,8073
null,-,,8074
CG14481,CG14481,FBgn0034260,8075
CG5719,CG5719,FBgn0034316,8076
CG14548,HLHm&bgr;,FBgn0002733,8077
CG1660,Tim9a,FBgn0030480,8078
CG2816,CG2816,FBgn0031564,8079
CG12874,CG12874,FBgn0039547,8080
CG10371,Plip,FBgn0039111,8081
null,-,,8082
CG30222,CG30222,FBgn0050222,8083
CG13338,CG13338,FBgn0033867,8084
CG18814,CG18814,FBgn0042137,8085
CG10883,CG10883,FBgn0038781,8086
CG3832,Phm,FBgn0019948,8087
CG8874,Fps85D,FBgn0000723,8088
CG11491,br,FBgn0000210,8089
null,-,,8090
CG1304,CG1304,FBgn0031141,8091
CG9503,CG9503,FBgn0030598,8092
CG13776,CG13776,FBgn0031880,8093
CG6620,ial,FBgn0024227,8094
CG30019,CG30019,FBgn0050019,8095
CG14626,CG14626,FBgn0040360,8096
CG31349,pyd,FBgn0003177,8097
CG13678,CG13678,FBgn0035859,8098
CG14368,CG14368,FBgn0038162,8099
CG14199,CG14199,FBgn0040890,8100
null,spotting_soln,null,8101
CG4027,Act5C,FBgn0000042,8102
null,spotting_soln,null,8103
null,Ambion_Spike_3,null,8104
null,Ambion_Spike_4,null,8105
null,no_primer,null,8106
T:Scer\GAL4,T:Scer\GAL4,FBgn0026021,8107
null,spotting_soln,null,8108
CG32053,CG32053,FBgn0052053,8109
CG1427,CG1427,FBgn0037347,8110
CG1424,mst,FBgn0020272,8111
CG7959,Bgb,FBgn0013753,8112
CG9281,CG9281,FBgn0030672,8113
CG31530,CG31530,FBgn0051530,8114
null,No Amplicon Gene Matches,,8115
CG1146,CG1146,FBgn0035346,8116
CG1434,CG1434,FBgn0030554,8117
CG5880,CG5880,FBgn0039489,8118
CG33274,CG33274,FBgn0035864,8119
CG9330,CG9330,FBgn0036888,8120
CG32226,CG32226,FBgn0052226,8121
CG6081,Cyp28d2,FBgn0031688,8122
CG14251,ms(3)K81,FBgn0002838,8123
null,No Amplicon Gene Matches,,8124
CG3868,CG3868,FBgn0036422,8125
CG8607,CG8607,FBgn0035760,8126
CG2991,CG2991,FBgn0031474,8127
null,-,,8128
CG9673,CG9673,FBgn0030775,8129
null,Amplicon Hits Multiple Gene Regions,,8130
CG9381,mura,FBgn0037705,8131
null,Amplicon Hits Multiple Gene Regions,,8132
null,Amplicon Hits Multiple Gene Regions,,8133
CG11103,CG11103,FBgn0030522,8134
CG9746,CG9746,FBgn0037663,8135
CG10052,Rx,FBgn0020617,8136
CG14994,Gad1,FBgn0004516,8137
CG3301,CG3301,FBgn0038878,8138
CG32732,CG32732,FBgn0052732,8139
CG12985,CG12985,FBgn0030881,8140
CG6094,CG6094,FBgn0032261,8141
CG6439,CG6439,FBgn0038922,8142
CG3129,Rab-RP4,FBgn0015794,8143
CG10911,CG10911,FBgn0034295,8144
CG15102,Jheh2,FBgn0034405,8145
CG2173,Rs1,FBgn0021995,8146
CG6293,CG6293,FBgn0037807,8147
CG7943,CG7943,FBgn0039741,8148
CG7496,PGRP-SD,FBgn0035806,8149
CG31732,yuri,FBgn0045842,8150
CG8068,Su(var)2-10,FBgn0003612,8151
CG4550,ninaE,FBgn0002940,8152
CG8043,CG8043,FBgn0037610,8153
CG13948,Gr21a,FBgn0041250,8154
CG11693,CG11693,FBgn0037570,8155
CG3478,ppk,FBgn0020258,8156
CG9286,CG9286,FBgn0038183,8157
CG5062,CG5062,FBgn0029747,8158
CG7747,CG7747,FBgn0034109,8159
CG2145,CG2145,FBgn0030251,8160
CG2150,CG2150,FBgn0003065,8161
CG9009,CG9009,FBgn0027601,8162
CG11349,CG11349,FBgn0035550,8163
CG15811,Rop,FBgn0004574,8164
CG8301,CG8301,FBgn0037717,8165
CG10395,CG10395,FBgn0033019,8166
Barcode Element,,,8167
CG9681,PGRP-SB1,FBgn0043578,8168
CG14322,CG14322,FBgn0038532,8169
CG33556,,FBgn0035740,8170
CG5423,robo3,FBgn0041097,8171
CG3581,CG3581,FBgn0038697,8172
CG1492,CG1492,FBgn0030361,8173
CG1644,Cyp6t1,FBgn0031182,8174
Barcode Element,,,8175
CG3278,Tif-IA,FBgn0032988,8176
CG9106,CG9106,FBgn0030624,8177
CG13892,Cypl,FBgn0035141,8178
CG9124,eIF-3p40,FBgn0022023,8179
null,Amplicon Hits Multiple Gene Regions,,8180
CG5187,Doc2,FBgn0035956,8181
CG12620,CG12620,FBgn0032626,8182
CG7920,CG7920,FBgn0039737,8183
CG9210,Ac13E,FBgn0022710,8184
CG6108,CG6108,FBgn0032498,8185
CG18335,CG18335,FBgn0033610,8186
CG16963,Cry,FBgn0005664,8187
CG2666,kkv,FBgn0001311,8188
CG6093,abo,FBgn0000018,8189
CG6097,rt,FBgn0003292,8190
CG31058,CG31058,FBgn0051058,8191
CG14153,CG14153,FBgn0036094,8192
CG33173,CG33173,FBgn0053173,8193
CG18741,DopR2,FBgn0015129,8194
CG5888,CG5888,FBgn0028523,8195
CG5474,SsR&bgr;,FBgn0011016,8196
CG8409,Su(var)205,FBgn0003607,8197
CG18605,CG18605,FBgn0034411,8198
CG18398,CG18398,FBgn0032728,8199
CG14743,CG14743,FBgn0033326,8200
CG15676,CG15676,FBgn0034651,8201
CG14215,CG14215,FBgn0031052,8202
CG18661,CG18661,FBgn0040964,8203
CG6137,aub,FBgn0000146,8204
CG33208,MICAL,FBgn0053208,8205
CG9659,egh,FBgn0001404,8206
CG3870,chrw,FBgn0015372,8207
CG2048,dco,FBgn0002413,8208
CG32717,sdt,FBgn0003349,8209
CG9696,dom,FBgn0020306,8210
CG12663,CG12663,FBgn0029961,8211
CG1242,Hsp83,FBgn0001233,8212
CG11901,Ef1&ggr;,FBgn0029176,8213
null,Amplicon Hits Multiple Gene Regions,,8214
CG6737,CG6737,FBgn0032294,8215
CG8069,Phax,FBgn0033380,8216
CG1622,CG1622,FBgn0030468,8217
CG1621,CG1621,FBgn0033182,8218
CG7004,fwd,FBgn0004373,8219
CG1747,Sk1,FBgn0030300,8220
CG7579,CG7579,FBgn0036528,8221
CG11070,CG11070,FBgn0028467,8222
CG30044,CG30044,FBgn0050044,8223
CG1894,CG1894,FBgn0039585,8224
CG7578,CG7578,FBgn0028538,8225
CG3632,CG3632,FBgn0030735,8226
CG15899,Ca-&agr;1T,FBgn0029846,8227
CG7590,scyl,FBgn0041094,8228
CG17462,CG17462,FBgn0039251,8229
CG2807,CG2807,FBgn0031266,8230
CG2614,CG2614,FBgn0032873,8231
CG4714,CG4714,FBgn0033819,8232
CG10907,CG10907,FBgn0036207,8233
CG4716,CG4716,FBgn0033820,8234
CG7304,CG7304,FBgn0036527,8235
CG3168,CG3168,FBgn0029896,8236
CG10315,eIF2B-&dgr;,FBgn0034858,8237
CG18531,Gr2a,FBgn0027796,8238
CG32555,RhoGAPp190,FBgn0026375,8239
CG15110,botv,FBgn0027535,8240
CG12877,CG12877,FBgn0039544,8241
CG5127,CG5127,FBgn0039335,8242
CG6052,CG6052,FBgn0036747,8243
CG7999,Trap100,FBgn0035851,8244
CG15602,CG15602,FBgn0030694,8245
CG10103,CG10103,FBgn0035715,8246
CG1856,ttk,FBgn0003870,8247
CG30437,CG30437,FBgn0050437,8248
CG30456,CG30456,FBgn0050456,8249
CG6297,JIL-1,FBgn0020412,8250
CG17330,jhamt,FBgn0028841,8251
CG31694,CG31694,FBgn0051694,8252
CG18345,trpl,FBgn0005614,8253
CG15820,CG15820,FBgn0035312,8254
CG1034,bcd,FBgn0000166,8255
CG3322,LanB2,FBgn0002528,8256
CG8179,CG8179,FBgn0034020,8257
CG11600,CG11600,FBgn0038068,8258
CG15666,CG15666,FBgn0034622,8259
CG32105,CG32105,FBgn0052105,8260
CG17144,CG17144,FBgn0036267,8261
null,Amplicon Hits Multiple Gene Regions,,8262
null,No Amplicon Gene Matches,,8263
CG11622,Rlip,FBgn0026056,8264
