gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q
CG33213,FBgn0053213,CG33213-PA-196,2,1,0,0,0.251132937662243,0.573216705281624
CG33217,FBgn0053217,CG33217-PA-1176,197,232,242,224,0.2261938173364,0.573216705281624
CG3323,FBgn0029750,CG3323-PA-2217,0,0,2,1,0.251132937662243,0.573216705281624
CG33260,FBgn0053260,CG33260-PC-336,0,1,2,3,0.220871050906604,0.573216705281624
CG33276,FBgn0053276,CG33276-PB-119,3,0,0,0,0.251132937662243,0.573216705281624
CG33286,FBgn0053286,CG33286-PB-2600,0,0,2,1,0.251132937662243,0.573216705281624
CG3328,FBgn0034985,CG3328-PA-2786,0,0,2,1,0.251132937662243,0.573216705281624
CG33291,FBgn0053291,CG33291-PA-3063,0,0,3,0,0.251132937662243,0.573216705281624
CG33303,FBgn0053303,CG33303-PA-970,6,11,19,13,0.209228176257782,0.573216705281624
CG33309,FBgn0053309,CG33309-PA-1213,2,1,0,0,0.251132937662243,0.573216705281624
CG3338,FBgn0031598,CG3338-PA-1732,2,1,0,0,0.251132937662243,0.573216705281624
CG3342,FBgn0029874,CG3342-PA-930,0,0,1,2,0.251132937662243,0.573216705281624
CG3344,FBgn0035154,CG3344-PA-1248,0,0,2,1,0.251132937662243,0.573216705281624
CG3353,FBgn0038869,CG3353-PA-337,0,3,0,0,0.251132937662243,0.573216705281624
CG3362,FBgn0034988,CG3362-PA-876,2,5,5,11,0.217902494806893,0.573216705281624
CG3363,FBgn0034987,CG3363-PA-5058,0,0,2,1,0.251132937662243,0.573216705281624
CG33671,FBgn0061359,CG33671-PA-26,4,3,0,3,0.230439378280186,0.573216705281624
CG33688,FBgn0053688,CG33688-PA-353,3,0,0,0,0.251132937662243,0.573216705281624
CG3368,FBgn0039508,CG3368-PA-2667,2,1,0,0,0.251132937662243,0.573216705281624
CG33691,FBgn0064122,CG33691-PB-1653,10,4,5,4,0.217902494806893,0.573216705281624
CG33691,FBgn0064122,CG33691-PB-255,1,2,0,0,0.251132937662243,0.573216705281624
CG33692,FBgn0064121,CG33692-PA-225,2,1,0,0,0.251132937662243,0.573216705281624
CG33695,FBgn0052831,CG33695-PA-793,1,2,0,0,0.251132937662243,0.573216705281624
CG33713,FBgn0064116,CG33713-PA-447,742,737,843,822,0.239586651724316,0.573216705281624
CG33722,FBgn0064126,CG33722-PB-403,3,0,0,0,0.251132937662243,0.573216705281624
CG3376,FBgn0034997,CG3376-PA-1362,1,2,0,0,0.251132937662243,0.573216705281624
CG33785,FBgn0061362,CG33785-PA-270,7,12,19,15,0.214571299509017,0.573216705281624
CG3386,FBgn0035152,CG3386-PA-667,0,0,2,1,0.251132937662243,0.573216705281624
CG33932,FBgn0066303,CG33932-PA-136,1,2,0,0,0.251132937662243,0.573216705281624
CG33960,FBgn0053960,CG33960-PA-2224,1,2,0,0,0.251132937662243,0.573216705281624
CG33969,FBgn0053969,CG33969-PA-505,1,2,0,0,0.251132937662243,0.573216705281624
CG34039,FBgn0054039,CG34039-PB-203,1,2,0,0,0.251132937662243,0.573216705281624
CG34050,FBgn0054050,CG34050-PA-159,0,0,1,2,0.251132937662243,0.573216705281624
CG34056,FBgn0054056,CG34056-PA-394,1,2,4,5,0.227207031129561,0.573216705281624
CG34113,FBgn0083949,CG34113-PO-3679,2,1,0,0,0.251132937662243,0.573216705281624
CG34124,FBgn0083960,CG34124-PA-5245,0,3,0,0,0.251132937662243,0.573216705281624
CG34126,FBgn0083962,CG34126-PB-3945,3,0,0,0,0.251132937662243,0.573216705281624
CG34126,FBgn0083962,CG34126-PB-4248,1,2,0,0,0.251132937662243,0.573216705281624
CG34133,FBgn0083969,CG34133-PB-1080,0,0,1,2,0.251132937662243,0.573216705281624
CG34134,FBgn0083970,CG34134-PA-297,16,13,8,15,0.229108063368728,0.573216705281624
CG34136,FBgn0083972,CG34136-PA-145,1,2,0,0,0.251132937662243,0.573216705281624
CG34141,FBgn0083977,CG34141-PB-2101,0,0,2,1,0.251132937662243,0.573216705281624
CG34149,FBgn0083985,CG34149-PA-222,0,3,0,0,0.251132937662243,0.573216705281624
CG3419,FBgn0035002,CG3419-PA-1007,3,0,0,0,0.251132937662243,0.573216705281624
CG3419,FBgn0035002,CG3419-PA-990,1,2,0,0,0.251132937662243,0.573216705281624
CG34220,FBgn0085249,CG34220-PA-1998,0,0,2,1,0.251132937662243,0.573216705281624
CG34231,FBgn0085260,CG34231-PB-423,10,4,6,3,0.217902494806893,0.573216705281624
CG34242,FBgn0085271,CG34242-PA-76,0,3,0,0,0.251132937662243,0.573216705281624
CG34275,FBgn0085304,CG34275-PA-692,0,0,1,2,0.251132937662243,0.573216705281624
CG34349,FBgn0085378,CG34349-PC-1293,1,2,0,0,0.251132937662243,0.573216705281624
CG34350,FBgn0085379,CG34350-PA-2874,3,2,1,0,0.220871050906604,0.573216705281624
CG34355,FBgn0085384,CG34355-PB-283,0,0,1,2,0.251132937662243,0.573216705281624
CG3436,FBgn0031229,CG3436-PA-398,1,2,0,0,0.251132937662243,0.573216705281624
CG34376,FBgn0085405,CG34376-PB-1173,1,0,1,4,0.220871050906604,0.573216705281624
CG3437,FBgn0035998,CG3437-PB-790,14,17,11,15,0.240436821093673,0.573216705281624
CG34381,FBgn0085410,CG34381-PA-1714,0,0,2,1,0.251132937662243,0.573216705281624
CG34393,FBgn0085422,CG34393-PA-1394,7,3,1,5,0.215613468211147,0.573216705281624
CG34396,FBgn0085425,CG34396-PC-1356,2,1,0,0,0.251132937662243,0.573216705281624
CG34396,FBgn0085425,CG34396-PC-607,2,1,0,0,0.251132937662243,0.573216705281624
CG34398,FBgn0085427,CG34398-PA-4519,0,0,2,1,0.251132937662243,0.573216705281624
CG34404,FBgn0085433,CG34404-PC-2125,3,0,0,0,0.251132937662243,0.573216705281624
CG34404,FBgn0085433,CG34404-PC-955,2,1,0,0,0.251132937662243,0.573216705281624
CG34406,FBgn0085435,CG34406-PA-1941,13,9,6,10,0.212615841544401,0.573216705281624
CG34417,FBgn0085446,CG34417-PC-1330,3,11,9,17,0.212615841544401,0.573216705281624
CG34422,FBgn0085451,CG34422-PA-1594,1,2,0,0,0.251132937662243,0.573216705281624
CG34422,FBgn0085451,CG34422-PA-6577,1,2,6,3,0.230439378280186,0.573216705281624
CG34424,FBgn0085453,CG34424-PA-427,1,2,0,0,0.251132937662243,0.573216705281624
CG34449,FBgn0085478,CG34449-PA-2625,0,0,2,1,0.251132937662243,0.573216705281624
CG34449,FBgn0085478,CG34449-PA-2781,1,0,3,2,0.220871050906604,0.573216705281624
CG34453,FBgn0085482,CG34453-PB-353,2,1,0,0,0.251132937662243,0.573216705281624
CG34455,FBgn0085484,CG34455-PC-718,3,5,8,9,0.230982184798267,0.573216705281624
CG34459,FBgn0085488,CG34459-PA-783,0,0,3,0,0.251132937662243,0.573216705281624
CG3493,FBgn0034854,CG3493-PA-3348,1,2,0,0,0.251132937662243,0.573216705281624
CG3493,FBgn0034854,CG3493-PA-3536,0,0,2,1,0.251132937662243,0.573216705281624
CG3499,FBgn0034792,CG3499-PB-134,0,3,0,0,0.251132937662243,0.573216705281624
CG3499,FBgn0034792,CG3499-PB-1942,0,1,3,2,0.220871050906604,0.573216705281624
CG3499,FBgn0034792,CG3499-PB-1959,65,63,124,71,0.2404563845632,0.573216705281624
CG3499,FBgn0034792,CG3499-PB-300,1,2,0,0,0.251132937662243,0.573216705281624
CG3500,FBgn0034849,CG3500-PA-306,1,2,0,0,0.251132937662243,0.573216705281624
CG3501,FBgn0034791,CG3501-PA-175,3,0,0,0,0.251132937662243,0.573216705281624
CG3502,FBgn0046253,CG3502-PB-1290,1,2,0,0,0.251132937662243,0.573216705281624
CG3502,FBgn0046253,CG3502-PB-2149,3,4,2,1,0.227207031129561,0.573216705281624
CG3511,FBgn0035027,CG3511-PA-1482,8,8,5,6,0.249388569854563,0.573216705281624
CG3511,FBgn0035027,CG3511-PA-675,2,1,9,0,0.230439378280186,0.573216705281624
CG3513,FBgn0031559,CG3513-PA-95,0,0,0,3,0.251132937662243,0.573216705281624
CG3520,FBgn0034859,CG3520-PA-1144,0,0,2,1,0.251132937662243,0.573216705281624
CG3520,FBgn0034859,CG3520-PA-2893,1,2,0,0,0.251132937662243,0.573216705281624
CG3534,FBgn0038463,CG3534-PA-1105,2,1,0,0,0.251132937662243,0.573216705281624
CG3548,FBgn0035033,CG3548-PA-564,1,2,0,0,0.251132937662243,0.573216705281624
CG3558,FBgn0025681,CG3558-PA-1510,0,0,2,1,0.251132937662243,0.573216705281624
CG3589,FBgn0035065,CG3589-PA-950,1,2,0,0,0.251132937662243,0.573216705281624
CG3589,FBgn0035065,CG3589-PA-967,123,149,128,151,0.220331736473479,0.573216705281624
CG3603,FBgn0029648,CG3603-PA-370,4,1,1,0,0.220871050906604,0.573216705281624
CG3605,FBgn0031493,CG3605-PA-1546,1,0,4,1,0.220871050906604,0.573216705281624
CG3605,FBgn0031493,CG3605-PA-1944,1,2,0,0,0.251132937662243,0.573216705281624
CG3608,FBgn0035039,CG3608-PA-570,2,1,0,0,0.251132937662243,0.573216705281624
CG3631,FBgn0038268,CG3631-PC-1227,0,0,3,0,0.251132937662243,0.573216705281624
CG3632,FBgn0030735,CG3632-PE-1673,2,1,0,0,0.251132937662243,0.573216705281624
CG3632,FBgn0030735,CG3632-PE-1855,0,3,0,0,0.251132937662243,0.573216705281624
CG3634,FBgn0037026,CG3634-PA-1276,1,2,0,0,0.251132937662243,0.573216705281624
CG3634,FBgn0037026,CG3634-PA-786,3,4,2,1,0.227207031129561,0.573216705281624
CG3634,FBgn0037026,CG3634-PA-917,0,0,3,0,0.251132937662243,0.573216705281624
CG3649,FBgn0034785,CG3649-PB-114,0,0,2,1,0.251132937662243,0.573216705281624
CG3651,FBgn0032974,CG3651-PA-2313,67,52,86,84,0.236720435473819,0.573216705281624
CG3662,FBgn0031285,CG3662-PA-603,4,1,0,1,0.220871050906604,0.573216705281624
CG3662,FBgn0031285,CG3662-PA-67,0,0,2,1,0.251132937662243,0.573216705281624
CG3662,FBgn0031285,CG3662-PA-84,2,1,0,0,0.251132937662243,0.573216705281624
CG3663,FBgn0035044,CG3663-PA-217,1,2,0,0,0.251132937662243,0.573216705281624
CG3679,FBgn0027521,CG3679-PA-226,1,2,0,0,0.251132937662243,0.573216705281624
CG3680,FBgn0037027,CG3680-PA-1499,0,0,1,2,0.251132937662243,0.573216705281624
CG3699,FBgn0040349,CG3699-PA-627,1,0,4,1,0.220871050906604,0.573216705281624
CG3702,FBgn0031590,CG3702-PA-1445,5,5,3,3,0.211029624140385,0.573216705281624
CG3703,FBgn0040348,CG3703-PA-1486,2,1,0,0,0.251132937662243,0.573216705281624
CG3709,FBgn0031227,CG3709-PA-1471,22,18,13,21,0.224968650377343,0.573216705281624
CG3711,FBgn0040344,CG3711-PA-1263,0,0,1,2,0.251132937662243,0.573216705281624
CG3714,FBgn0031589,CG3714-PA-520,2,1,0,0,0.251132937662243,0.573216705281624
CG3740,FBgn0023530,CG3740-PA-282,1,0,4,1,0.220871050906604,0.573216705281624
CG3744,FBgn0039240,CG3744-PA-1801,0,3,0,0,0.251132937662243,0.573216705281624
CG3764,FBgn0036684,CG3764-PA-1506,2,1,0,0,0.251132937662243,0.573216705281624
CG3770,FBgn0035085,CG3770-PA-166,1,2,0,0,0.251132937662243,0.573216705281624
CG3770,FBgn0035085,CG3770-PA-268,0,0,1,2,0.251132937662243,0.573216705281624
CG3773,FBgn0038692,CG3773-PA-323,0,0,1,2,0.251132937662243,0.573216705281624
CG3788,FBgn0034800,CG3788-PA-637,0,3,0,0,0.251132937662243,0.573216705281624
CG3790,FBgn0033778,CG3790-PA-362,0,0,2,1,0.251132937662243,0.573216705281624
CG3797,FBgn0036842,CG3797-PA-155,3,0,0,0,0.251132937662243,0.573216705281624
CG3803,FBgn0034938,CG3803-PA-171,0,1,2,3,0.220871050906604,0.573216705281624
CG3808,FBgn0036838,CG3808-PA-1686,6,1,2,1,0.230439378280186,0.573216705281624
CG3809,FBgn0037995,CG3809-PA-1164,2,1,0,0,0.251132937662243,0.573216705281624
CG3814,FBgn0025692,CG3814-PA-231,0,0,0,3,0.251132937662243,0.573216705281624
CG3823,FBgn0029863,CG3823-PA-199,2,2,2,10,0.215613468211147,0.573216705281624
CG3823,FBgn0029863,CG3823-PA-433,0,3,0,0,0.251132937662243,0.573216705281624
CG3831,FBgn0034804,CG3831-PA-1159,0,0,0,3,0.251132937662243,0.573216705281624
CG3835,FBgn0023507,CG3835-PA-1519,0,0,1,2,0.251132937662243,0.573216705281624
CG3847,FBgn0029867,CG3847-PA-27,1,2,0,0,0.251132937662243,0.573216705281624
CG3847,FBgn0029867,CG3847-PA-798,2,3,5,8,0.244245173234332,0.573216705281624
CG3860,FBgn0034951,CG3860-PA-183,1,2,0,0,0.251132937662243,0.573216705281624
CG3918,FBgn0029873,CG3918-PA-463,63,64,82,94,0.221317454209039,0.573216705281624
CG3940,FBgn0037788,CG3940-PA-481,2,1,0,0,0.251132937662243,0.573216705281624
CG3961,FBgn0036821,CG3961-PA-1456,0,3,0,0,0.251132937662243,0.573216705281624
CG3961,FBgn0036821,CG3961-PA-1647,2,1,0,0,0.251132937662243,0.573216705281624
CG3961,FBgn0036821,CG3961-PA-1923,1,2,0,0,0.251132937662243,0.573216705281624
CG3964,FBgn0031574,CG3964-PA-2788,2,3,1,0,0.220871050906604,0.573216705281624
CG3975,FBgn0027559,CG3975-PA-910,1,2,0,0,0.251132937662243,0.573216705281624
CG40006,FBgn0058006,CG40006-PA-567,0,0,1,2,0.251132937662243,0.573216705281624
CG40045,FBgn0058045,CG40045-PA-267,1,2,0,0,0.251132937662243,0.573216705281624
CG4045,FBgn0025629,CG4045-PA-283,2,1,0,0,0.251132937662243,0.573216705281624
CG4049,FBgn0034976,CG4049-PA-1097,2,1,0,0,0.251132937662243,0.573216705281624
CG4049,FBgn0034976,CG4049-PA-1813,0,0,1,2,0.251132937662243,0.573216705281624
CG4049,FBgn0034976,CG4049-PA-95,1,2,0,0,0.251132937662243,0.573216705281624
CG4050,FBgn0020312,CG4050-PA-2222,0,0,1,2,0.251132937662243,0.573216705281624
CG4061,FBgn0025630,CG4061-PA-855,0,0,1,2,0.251132937662243,0.573216705281624
CG4068,FBgn0029738,CG4068-PA-1606,15,11,29,16,0.210852818205105,0.573216705281624
CG4074,FBgn0037017,CG4074-PA-471,54,47,50,50,0.215290769028062,0.573216705281624
CG4078,FBgn0029798,CG4078-PA-2435,0,0,1,2,0.251132937662243,0.573216705281624
CG4080,FBgn0035983,CG4080-PA-40,1,2,0,0,0.251132937662243,0.573216705281624
CG4096,FBgn0029791,CG4096-PB-1296,0,0,1,2,0.251132937662243,0.573216705281624
CG4096,FBgn0029791,CG4096-PB-2182,1,2,0,0,0.251132937662243,0.573216705281624
CG4133,FBgn0031257,CG4133-PA-1345,0,0,2,1,0.251132937662243,0.573216705281624
CG4159,FBgn0038811,CG4159-PA-273,2,1,0,0,0.251132937662243,0.573216705281624
CG4161,FBgn0028892,CG4161-PA-1447,0,3,0,0,0.251132937662243,0.573216705281624
CG4164,FBgn0031256,CG4164-PA-277,1,0,2,3,0.220871050906604,0.573216705281624
CG4164,FBgn0031256,CG4164-PA-895,3,2,1,0,0.220871050906604,0.573216705281624
CG4168,FBgn0028888,CG4168-PB-3965,0,0,2,1,0.251132937662243,0.573216705281624
CG4199,FBgn0025628,CG4199-PA-1011,2,1,6,3,0.230439378280186,0.573216705281624
CG42231,FBgn0087041,CG42231-PA-225,1,2,0,0,0.251132937662243,0.573216705281624
CG42231,FBgn0087041,CG42231-PA-242,50,39,45,43,0.239163000331705,0.573216705281624
CG42232,FBgn0250754,CG42232-PB-8504,0,0,1,2,0.251132937662243,0.573216705281624
CG42235,FBgn0250757,CG42235-PB-1684,0,0,2,1,0.251132937662243,0.573216705281624
CG42254,FBgn0259112,CG42254-PB-246,1,2,0,0,0.251132937662243,0.573216705281624
CG42258,FBgn0259143,CG42258-PC-597,3,0,0,0,0.251132937662243,0.573216705281624
CG42268,FBgn0259163,CG42268-PD-2645,3,0,0,0,0.251132937662243,0.573216705281624
CG42268,FBgn0259163,CG42268-PD-3814,1,2,0,0,0.251132937662243,0.573216705281624
CG42272,FBgn0259167,CG42272-PC-172,0,0,0,3,0.251132937662243,0.573216705281624
CG42313,FBgn0259213,CG42313-PA-3125,2,1,0,0,0.251132937662243,0.573216705281624
CG42321,FBgn0259221,CG42321-PE-2441,2,1,0,0,0.251132937662243,0.573216705281624
CG42321,FBgn0259221,CG42321-PE-2500,2,1,0,0,0.251132937662243,0.573216705281624
CG42326,FBgn0259226,CG42326-PD-680,0,3,0,0,0.251132937662243,0.573216705281624
CG42336,FBgn0259238,CG42336-PC-169,3,0,0,0,0.251132937662243,0.573216705281624
CG42336,FBgn0259238,CG42336-PD-297,0,0,1,2,0.251132937662243,0.573216705281624
CG42342,FBgn0259244,CG42342-PC-1434,11,12,20,18,0.248588800558186,0.573216705281624
CG42342,FBgn0259244,CG42342-PC-560,1,0,1,4,0.220871050906604,0.573216705281624
CG42342,FBgn0259244,CG42342-PD-1981,0,0,1,2,0.251132937662243,0.573216705281624
CG42345,FBgn0259247,CG42345-PA-2301,3,0,0,0,0.251132937662243,0.573216705281624
CG42353,FBgn0259699,CG42353-PA-1832,2,1,0,0,0.251132937662243,0.573216705281624
CG42354,FBgn0259700,CG42354-PA-1367,0,0,2,1,0.251132937662243,0.573216705281624
CG42354,FBgn0259700,CG42354-PA-885,0,0,2,1,0.251132937662243,0.573216705281624
CG42359,FBgn0259705,CG42359-PA-274,0,0,0,3,0.251132937662243,0.573216705281624
CG42361,FBgn0259707,CG42361-PA-475,1,2,0,0,0.251132937662243,0.573216705281624
CG42366,FBgn0259712,CG42366-PA-1596,3,0,0,0,0.251132937662243,0.573216705281624
CG42369,FBgn0259715,CG42369-PA-1173,0,0,1,2,0.251132937662243,0.573216705281624
CG42388,FBgn0259734,CG42388-PC-1050,0,0,2,1,0.251132937662243,0.573216705281624
CG42389,FBgn0259735,CG42389-PE-5474,2,1,6,3,0.230439378280186,0.573216705281624
CG4238,FBgn0031384,CG4238-PD-768,0,0,1,2,0.251132937662243,0.573216705281624
CG42391,FBgn0259737,CG42391-PA-733,0,0,1,2,0.251132937662243,0.573216705281624
CG42457,FBgn0259934,CG42457-PA-693,1,2,0,0,0.251132937662243,0.573216705281624
CG42492,FBgn0259994,CG42492-PA-962,1,2,0,0,0.251132937662243,0.573216705281624
CG42494,FBgn0260026,CG42494-PA-497,6,5,13,9,0.217163703384122,0.573216705281624
CG42496,FBgn0260222,CG42496-PA-166,0,1,4,1,0.220871050906604,0.573216705281624
CG42500,FBgn0260226,CG42500-PA-76,1,2,0,0,0.251132937662243,0.573216705281624
CG42533,FBgn0260486,CG42533-PF-5130,2,1,0,0,0.251132937662243,0.573216705281624
CG42533,FBgn0260486,CG42533-PF-5787,1,0,3,2,0.220871050906604,0.573216705281624
CG42533,FBgn0260486,CG42533-PF-5887,0,3,0,0,0.251132937662243,0.573216705281624
CG42541,FBgn0260658,CG42541-PC-2589,1,2,0,0,0.251132937662243,0.573216705281624
CG42558,FBgn0260760,CG42558-PA-99,104,121,114,123,0.234284734494748,0.573216705281624
CG42588,FBgn0260965,CG42588-PA-1846,1,2,0,0,0.251132937662243,0.573216705281624
CG42593,FBgn0260970,CG42593-PA-1873,1,2,0,0,0.251132937662243,0.573216705281624
CG42594,FBgn0260971,CG42594-PA-1234,6,1,3,0,0.230439378280186,0.573216705281624
CG4259,FBgn0031389,CG4259-PA-311,2,1,0,0,0.251132937662243,0.573216705281624
CG42663,FBgn0261545,CG42663-PB-675,2,1,0,0,0.251132937662243,0.573216705281624
CG42668,FBgn0261550,CG42668-PE-335,2,1,0,0,0.251132937662243,0.573216705281624
CG42668,FBgn0261550,CG42668-PE-934,1,2,0,0,0.251132937662243,0.573216705281624
CG42669,FBgn0261551,CG42669-PA-129,0,0,0,3,0.251132937662243,0.573216705281624
CG42669,FBgn0261551,CG42669-PE-1756,0,0,2,1,0.251132937662243,0.573216705281624
CG42669,FBgn0261551,CG42669-PE-2429,2,1,0,0,0.251132937662243,0.573216705281624
CG42669,FBgn0261551,CG42669-PE-2497,1,2,0,0,0.251132937662243,0.573216705281624
CG42674,FBgn0261556,CG42674-PE-1453,3,0,0,0,0.251132937662243,0.573216705281624
CG42678,FBgn0261564,CG42678-PH-532,1,2,0,0,0.251132937662243,0.573216705281624
CG4267,FBgn0031405,CG4267-PA-874,2,1,0,0,0.251132937662243,0.573216705281624
CG42684,FBgn0261570,CG42684-PA-1980,1,2,0,0,0.251132937662243,0.573216705281624
CG42699,FBgn0261610,CG42699-PC-580,2,1,0,0,0.251132937662243,0.573216705281624
CG42724,FBgn0261641,CG42724-PC-2274,4,4,12,5,0.238239993755641,0.573216705281624
CG42724,FBgn0261641,CG42724-PC-996,0,0,2,1,0.251132937662243,0.573216705281624
CG42727,FBgn0261680,CG42727-PA-273,38,44,45,34,0.21620624144683,0.573216705281624
CG42748,FBgn0261802,CG42748-PB-2160,0,1,3,2,0.220871050906604,0.573216705281624
CG42806,FBgn0261975,CG42806-PB-72,9,5,6,3,0.217902494806893,0.573216705281624
CG4282,FBgn0034114,CG4282-PA-1543,0,0,2,1,0.251132937662243,0.573216705281624
CG42856,FBgn0262103,CG42856-PB-3264,0,0,0,3,0.251132937662243,0.573216705281624
CG42856,FBgn0262103,CG42856-PB-4395,0,0,1,2,0.251132937662243,0.573216705281624
CG4286,FBgn0034601,CG4286-PA-600,1,2,0,0,0.251132937662243,0.573216705281624
CG4286,FBgn0034601,CG4286-PA-633,0,0,3,0,0.251132937662243,0.573216705281624
CG4291,FBgn0031287,CG4291-PA-255,1,2,0,0,0.251132937662243,0.573216705281624
CG4294,FBgn0034742,CG4294-PB-1545,3,0,0,0,0.251132937662243,0.573216705281624
CG4302,FBgn0027073,CG4302-PA-887,0,3,0,0,0.251132937662243,0.573216705281624
CG43143,FBgn0262617,CG43143-PE-5589,0,0,1,2,0.251132937662243,0.573216705281624
CG43143,FBgn0262617,CG43143-PE-6471,0,0,0,3,0.251132937662243,0.573216705281624
CG43150,FBgn0262680,CG43150-PA-124,1,2,0,0,0.251132937662243,0.573216705281624
CG43162,FBgn0262718,CG43162-PA-2433,2,1,0,0,0.251132937662243,0.573216705281624
CG43162,FBgn0262718,CG43162-PA-885,2,1,0,0,0.251132937662243,0.573216705281624
CG43162,FBgn0262718,CG43162-PD-3529,0,0,1,2,0.251132937662243,0.573216705281624
CG43164,FBgn0262720,CG43164-PC-914,0,3,0,0,0.251132937662243,0.573216705281624
CG4330,FBgn0030452,CG4330-PA-654,1,2,0,0,0.251132937662243,0.573216705281624
CG43340,FBgn0263077,CG43340-PA-516,2,1,0,0,0.251132937662243,0.573216705281624
CG43340,FBgn0263077,CG43340-PC-2667,11,10,17,19,0.232054964691841,0.573216705281624
CG43343,FBgn0263048,CG43343-PA-1075,0,0,3,0,0.251132937662243,0.573216705281624
CG43346,FBgn0263051,CG43346-PA-280,2,1,0,0,0.251132937662243,0.573216705281624
CG4334,FBgn0038312,CG4334-PB-10,0,0,2,1,0.251132937662243,0.573216705281624
CG43355,FBgn0263087,CG43355-PA-88,0,0,0,3,0.251132937662243,0.573216705281624
CG43366,FBgn0263109,CG43366-PB-4620,0,0,2,1,0.251132937662243,0.573216705281624
CG43366,FBgn0263109,CG43366-PB-5572,2,1,0,0,0.251132937662243,0.573216705281624
CG43366,FBgn0263109,CG43366-PB-6373,0,3,0,0,0.251132937662243,0.573216705281624
CG43371,FBgn0263114,CG43371-PA-18,0,0,1,2,0.251132937662243,0.573216705281624
CG43386,FBgn0263216,CG43386-PB-213,1,2,0,0,0.251132937662243,0.573216705281624
CG43394,FBgn0263256,CG43394-PA-276,1,2,0,0,0.251132937662243,0.573216705281624
CG43446,FBgn0263400,CG43446-PA-58,1,2,0,0,0.251132937662243,0.573216705281624
CG4452,FBgn0035981,CG4452-PA-261,0,3,0,0,0.251132937662243,0.573216705281624
CG4467,FBgn0039064,CG4467-PA-3131,1,2,0,0,0.251132937662243,0.573216705281624
CG4495,FBgn0031893,CG4495-PA-246,1,4,1,0,0.220871050906604,0.573216705281624
CG4496,FBgn0031894,CG4496-PA-241,2,1,0,0,0.251132937662243,0.573216705281624
CG4497,FBgn0031895,CG4497-PA-1081,3,0,0,0,0.251132937662243,0.573216705281624
CG4497,FBgn0031895,CG4497-PA-63,5,6,5,2,0.238945965474669,0.573216705281624
CG4525,FBgn0038358,CG4525-PA-1671,1,2,0,0,0.251132937662243,0.573216705281624
CG4542,FBgn0029906,CG4542-PA-1034,2,1,0,0,0.251132937662243,0.573216705281624
CG4542,FBgn0029906,CG4542-PA-1233,2,2,7,5,0.211029624140385,0.573216705281624
CG4558,FBgn0029914,CG4558-PA-408,38,31,49,52,0.227883075373092,0.573216705281624
CG4558,FBgn0029914,CG4558-PA-799,0,0,3,0,0.251132937662243,0.573216705281624
CG4565,FBgn0037841,CG4565-PB-190,1,2,0,0,0.251132937662243,0.573216705281624
CG4565,FBgn0037841,CG4565-PB-273,0,5,1,0,0.220871050906604,0.573216705281624
CG4572,FBgn0038738,CG4572-PA-1359,1,2,0,0,0.251132937662243,0.573216705281624
CG4585,FBgn0025335,CG4585-PA-373,0,0,0,3,0.251132937662243,0.573216705281624
CG4592,FBgn0032162,CG4592-PA-484,19,28,38,33,0.233951471331003,0.573216705281624
CG4593,FBgn0029929,CG4593-PA-289,0,0,0,3,0.251132937662243,0.573216705281624
CG4610,FBgn0034735,CG4610-PA-1603,1,2,0,0,0.251132937662243,0.573216705281624
CG4611,FBgn0035591,CG4611-PA-1630,1,2,0,0,0.251132937662243,0.573216705281624
CG4611,FBgn0035591,CG4611-PA-960,0,3,0,0,0.251132937662243,0.573216705281624
CG4617,FBgn0029936,CG4617-PA-1141,0,0,2,1,0.251132937662243,0.573216705281624
CG4622,FBgn0035021,CG4622-PA-1138,0,0,1,2,0.251132937662243,0.573216705281624
CG4622,FBgn0035021,CG4622-PA-710,4,7,5,2,0.244245173234332,0.573216705281624
CG4627,FBgn0033808,CG4627-PA-554,1,2,0,0,0.251132937662243,0.573216705281624
CG4627,FBgn0033808,CG4627-PA-571,11,12,10,8,0.213361159719414,0.573216705281624
CG4629,FBgn0031299,CG4629-PA-1020,0,3,0,0,0.251132937662243,0.573216705281624
CG4662,FBgn0038735,CG4662-PA-1141,1,2,0,0,0.251132937662243,0.573216705281624
CG4662,FBgn0038735,CG4662-PA-1309,1,2,0,0,0.251132937662243,0.573216705281624
CG4662,FBgn0038735,CG4662-PA-915,2,1,0,0,0.251132937662243,0.573216705281624
CG4670,FBgn0033814,CG4670-PA-1354,1,2,0,0,0.251132937662243,0.573216705281624
CG4670,FBgn0033814,CG4670-PA-1785,4,3,0,3,0.230439378280186,0.573216705281624
CG4673,FBgn0039348,CG4673-PA-1663,0,0,0,3,0.251132937662243,0.573216705281624
CG4678,FBgn0030778,CG4678-PD-1146,1,2,0,0,0.251132937662243,0.573216705281624
CG4705,FBgn0032339,CG4705-PB-2780,2,1,0,0,0.251132937662243,0.573216705281624
CG4714,FBgn0033819,CG4714-PA-1147,0,0,1,2,0.251132937662243,0.573216705281624
CG4726,FBgn0031307,CG4726-PA-828,1,2,0,0,0.251132937662243,0.573216705281624
CG4730,FBgn0039355,CG4730-PA-1127,0,3,0,0,0.251132937662243,0.573216705281624
CG4733,FBgn0038744,CG4733-PB-2349,2,1,0,0,0.251132937662243,0.573216705281624
CG4743,FBgn0039357,CG4743-PA-731,2,1,0,0,0.251132937662243,0.573216705281624
